,track_name,track_id,track_number,disc_number,duration_ms,explicit,popularity,preview_url,isrc,album_name,album_id,album_type,album_total_tracks,album_release_date,album_release_date_precision,album_images,popular_artist,popular_artist_id,artist_names,artist_ids,combined_genres,artist_popularity,artist_followers,external_url,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,lyrics,audio_file_path
0,Session 32,2ktg2oZDyFAX3iY1QNkXl5,1,1,98026,False,73,,USUM71803843,Session 32,1q6DMLVcuKBfYpfJ1KWtKh,single,1,2018-04-05,day,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730996eb30f4f33cb772663238', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e020996eb30f4f33cb772663238', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048510996eb30f4f33cb772663238', 'width': 64}]",Summer Walker,57LYzLEk2LcFghVwuWbcuS,['Summer Walker'],['57LYzLEk2LcFghVwuWbcuS'],"['rap', 'r&b']",79,6505293,https://open.spotify.com/track/2ktg2oZDyFAX3iY1QNkXl5,0.894,0.574,0.123,0.00111,1,0.118,-13.959,1,0.196,115.431,3,0.117,"Threw away your love letters
I thought it'd make me feel better
I finally got you out my bed
But I still can't get you out my head, ooh

I'm sending you one text at a time
I know you're by your phone
So boy pick up your line
And I ain't too proud to beg
So what's been said has been said

And I need you to know
You don't know what love is
And I need you to know, you don't know

And you don't know what love is
If you don't put up a fight
You don't know what love is
If you don't stay up all night

Boy and you don't know what love is
If you're too good to call a million times
And you say you know what love is
But I swear you never seen it in your life, ooh

I swear you never seen it in your life, ooh

I swear you never seen it in your life",songs\2xrUg_1X_XY.mp4
1,JACKIE BROWN,2IlT65thKQQw248mhk2PjQ,16,1,169013,True,72,https://p.scdn.co/mp3-preview/d879cb65ed6d0c36f66e87b7c7658ab86da20777?cid=fd83c27adc7e41f799e11bbaaab23d34,QM24S2203177,WASTELAND,0PHMNbcgHfzSUALlfk7wGg,album,19,2022-07-08,day,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27369f63a842ea91ca7c522593a', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0269f63a842ea91ca7c522593a', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485169f63a842ea91ca7c522593a', 'width': 64}]",Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,['Brent Faiyaz'],['3tlXnStJ1fFhdScmQeLpuG'],"['rap', 'r&b']",82,6063337,https://open.spotify.com/track/2IlT65thKQQw248mhk2PjQ,0.65,0.726,0.353,0.002,10,0.224,-10.273,1,0.105,137.66,4,0.503,"Only been a few hours, but it felt like days
Only been days, but it felt like months
I been gone for a year, only wrote like once
Life move fast when you doing what you want
I guess I'm doing what I want
Hope you doing what you want (what else?)
But what you want? (I don't know)

My new bitch look like Halle Berry
But she don't love me, she too scary
My old bitch fine like Jackie Brown
I don't wanna love her, she too down
Will you be my leading lady?
I want a contract, girl, no maybe
In the meantime (I guess I'm doing what I want)
Get some me-time (hope you doing what you want)

Maybe I don't love myself, I don't know
Leave me here, I'll fuck myself
See me in the mirror, I duck myself
I don't need much so fuck my wealth

Only been a few hours, but it felt like days
Only been days, but it felt like months
I been gone for a year, only wrote like once
Life move fast when you doing what you want
I guess I'm doing what I want (you don't gotta front when life's a water front)
Hope you doing what you want (what else?)
But what you want? (I don't know)
(You could play it loud?)

Crib by the beach like Ordell
No Beaumont, my killers don't tell
Château Marmont, grabbed the Louis off the shelf
Now my bitch addicted to Chanel
Will you be my leading lady?
I want a contract, girl, no maybe
In the meantime (I guess I'm doing what I want)
Get some me-time (I don't know)
(Hope you doing what you want)

My new bitch look like Halle Berry
But she don't love me, she too scary
My old bitch fine like Jackie Brown",songs\gpdI00q4D9Q.mp4
2,Mad Over You,5WNkId2gvwdvWtz9pFP8BR,10,1,216137,False,33,https://p.scdn.co/mp3-preview/1b67862c8473774a1a638e9e37a182b869a27a10?cid=fd83c27adc7e41f799e11bbaaab23d34,GBMA21910897,Soundgod Fest Vol.1,6m2ccnWsYoPtpVHgeSx249,compilation,20,2019-01-14,day,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e351f7979afa1bde6c70302b', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e351f7979afa1bde6c70302b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e351f7979afa1bde6c70302b', 'width': 64}]",Runtown,6mMtnxEQkYoY5FfJIQ9Rhb,['Runtown'],['6mMtnxEQkYoY5FfJIQ9Rhb'],"['afrobeats', 'nigerian pop', 'afropop']",53,1233935,https://open.spotify.com/track/5WNkId2gvwdvWtz9pFP8BR,0.464,0.838,0.533,0.000165,4,0.0881,-5.662,0,0.0501,107.041,4,0.785,"Dance for the dough
Gyal I wan make you whine for the dough
Tell am, one time for the love
Tell the gyal make she dance for the love

Ghana girl say she wan marry me o
I hope say she sabi cook Wache
Hope your love go sweet pass Shito
Baby girl I say, I say your body na killer o
I fit to die on top your body, only on your body

That girl for the corner, tell somebody make they call am o
Way she dey whine am I see fire for her body o
And if she follow me go na enjoyment go kill am o

Baby girl you bad o
Girl the way you whine
I dey mad over you girl, I dey mad over you girl
Say you are my woman eh eh, my super woman
I dey mad over you girl, I dey mad over you girl

Die for the love
Gyal I wan make you whine for the dough
One time for the love
Gyal I wan make you dance for the dough
Dance for the dough
Gyal I wan make you whine for the dough
Tell am, one time for the love
Tell the gyal make she dance for the love

If I sing for you, you go love me o
Baby love me non-stop, I will love you non-stop
Always kiss you on top, baby o
All over the world wan wa mi o, play the music non-stop
Tell them dance to my song, tell them shake bum bum ohweh

That girl for the corner, tell somebody make they call am o
Way she dey whine am, I see fire for her body o
And if she follow me go, na enjoyment go kill am o

Baby girl you bad o
Girl the way you whine
I dey mad over you girl, I dey mad over you girl
Say you are my woman ee, my super woman
I dey mad over you girl, I dey mad over you girl

Die for the love
Gyal I wan make you whine for the dough
One time for the love
Gyal I wan make you dance for the dough
Dance for the dough
Gyal I wan make you whine for the dough
Tell am, one time for the love
Tell the gyal make she dance for the love

Ghana girl say she wan marry me o
I hope say she sabi cook wache
Hope your love go sweet pass shito
Baby girl I say, I say your body na killer o
I fit to die on top your body, only on your body

Ghana-girl say, baby whine and bend down eyoo
I love my baby, whine am for me
I love my baby, whine am for me",songs\SGUYRt6A3ck.mp4
3,What Do You Mean?,4B0JvthVoAAuygILe3n4Bs,3,1,205680,False,78,,USUM71511919,Purpose (Deluxe),6Fr2rQkZ383FcMqFyT7yPr,album,19,2015-11-13,day,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f46b9d202509a8f7384b90de', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f46b9d202509a8f7384b90de', 'width': 64}]",Justin Bieber,1uNFoZAHBGtllmzznpCI3s,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],"['pop', 'canadian pop']",88,75617368,https://open.spotify.com/track/4B0JvthVoAAuygILe3n4Bs,0.59,0.845,0.567,0.00142,5,0.0811,-8.118,0,0.0956,125.02,4,0.793,"What do you mean? Oh, oh
When you nod your head yes
But you wanna say no
What do you mean? Hey-ey
When you don't want me to move
But you tell me to go
What do you mean?

Oh, what do you mean?
Said you're running out of time, what do you mean?
Oh, oh, oh, what do you mean?
Better make up your mind
What do you mean?

You're so indecisive, what I'm saying
Tryna catch the beat, make up your heart
Don't know if you're happy or complaining
Don't want for us to end, where do I start?

First you wanna go to the left, then you wanna turn right
Wanna argue all day, making love all night
First you're up, then you're down and then between
Oh, I really wanna know

What do you mean? Oh, oh
When you nod your head yes
But you wanna say no
What do you mean? Hey-yeah
When you don't want me to move
But you tell me to go
What do you mean?

Oh, what do you mean?
Said you're running out of time, what do you mean?
Oh, oh, oh, what do you mean?
Better make up your mind
What do you mean?

You're overprotective when I'm leaving
Tryna compromise but I can't win
You wanna make a point, but you keep preaching
You had me from the start, won't let this end

First you wanna go to the left, then you wanna turn right
Wanna argue all day, making love all night
First you're up, then you're down and then between
Oh, I really wanna know

What do you mean? Oh, oh
When you nod your head yes
But you wanna say no
What do you mean? Hey-yeah
When you don't want me to move
But you tell me to go
What do you mean?

(I wanna know)
Oh, what do you mean?
Said you're running out of time, what do you mean?
(Oh baby)
Oh, oh, oh, what do you mean?
Better make up your mind
What do you mean?

Oh, oh (this is ours baby, yeah)
When you nod your head yes
But you wanna say no
What do you mean?
(You're so confusing baby) Hey-yeah
When you don't want me to move
But you tell me to go
What do you mean?

(Be more straight forward)
Oh, what do you mean?
Said you're running out of time, what do you mean?
Oh, oh, oh, what do you mean?
Better make up your mind
What do you mean?",songs\DcDbKDAb7go.mp4
4,My Type,6oBtzGQSirafwnRDNlloMl,2,1,185065,True,59,https://p.scdn.co/mp3-preview/ae673d268b9b4e67278939d5f415609e5491bee9?cid=fd83c27adc7e41f799e11bbaaab23d34,JMA271800613,My Type - Single,1IbrNSS9aKgY9M0k1wBJC7,single,2,2018-03-09,day,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c596d2af5b5c92628563952b', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c596d2af5b5c92628563952b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c596d2af5b5c92628563952b', 'width': 64}]",Popcaan,62DmErcU7dqZbJaDqwsqzR,['Popcaan'],['62DmErcU7dqZbJaDqwsqzR'],"['jamaican hip hop', 'traphall', 'dancehall', 'reggae fusion']",64,1084699,https://open.spotify.com/track/6oBtzGQSirafwnRDNlloMl,0.307,0.623,0.481,0.0,1,0.138,-7.26,1,0.33,123.057,5,0.514,"Yeah
Yo
How you have so much attitude, my girl?
Bomboclaat wrong with you?

Tight pussy gyal, calm down yourself
Me have something fi you whine up yourself pon
Your body make me heart just a melt
All day pon the 'Gram me a mention you

Dem cyaan tell you say your pussy big
Gyal, your pussy tight and good (ready)
And now me waan your body every day
Your pussy tight and good, yeah

Baby
Cock up gyal, whine for me
Me have plans fi your tight punny (woii yoii)
Make yuh do everything weh you tie to me
Ride it like a bike for me

Baby, me love you, believe me
Push it up and make she feel it
Bend over, receive me
Me alone make she cum so speedy
Freaky gyal a my type (hoii)
Do the sittin' dem weh I like (woii yoii)
Me love you fi the rest of my life
Believe me, baby

Back it up like a Trini (you know)
Your pussy nah shot like no bingy
Love when you sidung pon me dick like a chimmy
Whine up inna your pretty, pretty, tight thingy (woii)
Me hand a rub pon your titty
Whine up your fit thick body pon the stiffy, baby
Your pussy tight, plus it pretty
Not a wrong bang, gyal a you get the ticket

When you a whine up your body, me love
(Gyal your body have me in love)
Any time we a fuck, me cyaan get enough
(I cannot get enough)

Baby, me love you, believe me
Push it up and make she feel it
Bend over, receive me
Me alone make she cum so speedy
Freaky gyal a my type
Do the sittin' dem weh I like
Me love you fi the rest of my life
Believe me, baby

Dem cyaan tell you say your pussy big
Gyal, your pussy tight and good (ready)
And now me waan your body every day
Your pussy tight and good, yeah

Tight pussy gyal, calm down yourself
Me have something fi you whine up yourself 'pon
Your body make me heart just a melt
All day pon the 'Gram me a mention you

Dem cyaan tell you say your pussy big
Gyal, your pussy tight and good (ready)
And now me waan your body every day
Your pussy tight and good, yeah

Baby, me love you, believe me
Push it up and make she feel it
Bend over, receive me
Me alone make she cum so speedy
Freaky gyal a my type
Do the sittin' dem weh I like
Me love you fi the rest of my life
Believe me, baby

Baby, me love you, believe me
Push it up and make she feel it
Bend over, receive me
Me alone make she cum so speedy
Freaky gyal a my type
Do the sittin' dem weh I like
Me love you fi the rest of my life
Believe me, baby",songs\tPIeEy1pjGk.mp4
5,So Sick - Acoustic,4HCpIhzKelkCloifq32KUl,1,1,183200,False,48,,USUM70601907,So Sick,5XUpYe7WySPsPoYXOMW5Hm,single,1,2006-01-01,day,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730cff07ab9cd865a6c4cabc72', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e020cff07ab9cd865a6c4cabc72', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048510cff07ab9cd865a6c4cabc72', 'width': 64}]",Ne-Yo,21E3waRsmPlU7jZsS13rcj,['Ne-Yo'],['21E3waRsmPlU7jZsS13rcj'],"['dance pop', 'r&b', 'pop', 'urban contemporary']",80,8873534,https://open.spotify.com/track/4HCpIhzKelkCloifq32KUl,0.885,0.465,0.237,0.0,6,0.244,-7.74,1,0.0516,90.792,4,0.529,"Do-do-do-do-do-do-do-do
Oh, yeah

Gotta change my answering machine now that I'm alone
'Cause right now it says that we can't come to the phone
And I know it makes no sense 'cause you walked out the door
But it's the only way I hear your voice anymore

It's ridiculous
It's been months and for some reason I just can't get over us
And I'm stronger than this
Enough is enough
No more walking 'round with my head down
I'm so over being blue crying over you

And I'm so sick of love songs, so tired of tears
So done with wishing you were still here
Said I'm so sick of love songs, so sad and slow
So why can't I turn off the radio?

Gotta fix that calendar I have that's marked July 15th
Because since there's no more you, there's no more anniversary
I'm so fed up with my thoughts of you and your memory
And how every song reminds me of what used to be

That's the reason I'm so sick of love songs, so tired of tears
So done with wishing you were still here
Said I'm so sick of love songs, so sad and slow
So why can't I turn off the radio?

Hmm, leave me alone
Stupid love songs
Don't make me think about her smile
Or having my first child
Letting go
Turning off the radio

'Cause I'm so sick of love songs, so tired of tears
So done with wishing you were still here
Said I'm so sick of love songs, so sad and slow
So why can't I turn off the radio?

And I'm so sick of love songs, so tired of tears
So done with wishing you were still here
Said I'm so sick of love songs, so sad and slow
So why can't I turn off the radio?",songs\RDM7PGD__AM.mp4
6,Everybody in Love,2iLN22AngD3PTsbvBu5ypL,2,1,195093,False,52,https://p.scdn.co/mp3-preview/1479acccc8a27eff40e6d000b05be4a28059458d?cid=fd83c27adc7e41f799e11bbaaab23d34,GBARL0900733,JLS,37ocVmUr58CZsunyOapI3m,album,14,2009-11-09,day,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731c913d2603141d61702eb9e7', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e021c913d2603141d61702eb9e7', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048511c913d2603141d61702eb9e7', 'width': 64}]",JLS,5xi3SZpllRPAkoPVbjB6nc,['JLS'],['5xi3SZpllRPAkoPVbjB6nc'],"['boy band', 'talent show']",49,511434,https://open.spotify.com/track/2iLN22AngD3PTsbvBu5ypL,0.0638,0.716,0.745,0.0,5,0.364,-6.984,0,0.0329,139.975,4,0.693,"Everybody in love, go put your hands up
Everybody in love, go put your hands up
Everybody in love, go put your hands up
If you're in love, put your hands up hand up

You know you need someone
When the need's so strong
When they're gone you don't know how to go on
So the whole world is stuck in a moment
Standing still until they come back

You accept that they've, got things to do
But sometimes in the end there's nothing left for you
If hurt is missing your baby
I've done too much of it lately

Cuz' every minutes like an hour
Every hours like a day
Every day lasts forever
But what else am i gonna do
I'd wait forever and a day for you
I wait up, wait up
I can't eat, I can't sleep
what else could it be missing so deep
long as I'm where you're going to
I'd wait forever and a day for you
I wait up, wait up for you

And even when we mad, and say we're through
Deep inside you feel the same way i do
Might as well turn around and just end this
Cause it's harder tryin' to stay mad
I could tell you that you can't stay here
Knowing just as soon as you disappear
That I'll be missing you baby
Soon as you get up and you walk away

Every minutes like an hour
Every hours like a day
Every day lasts forever
But what else am i gonna do
I'd wait forever and a day for you
I wait up, wait up
I can't eat, I can't sleep
what else could it be missing you so deep
long as I'm where you're going to
I'd wait forever and a day for you
I wait up, wait up for you

Everybody in love
Go put your hands up
Everybody in love
Go put your hands up
Everybody in love
Go put your hands up
If you're in love
Put your hands up
Everybody in love
Go put your hands up
Everybody in love
Go put your hands up
Everybody in love
Go put your hands up
If your in love
Put your hands up

Every minutes like an hour
Every hours like a day
Every day lasts forever
But what else am i gonna do
I'd wait forever and a day for you
I wait up, wait up
I can't eat, I can't sleep
what else could it be missing you so deep
long as I'm where you're going to
I'd wait forever and a day for you
I wait up, wait up for you!",songs\p6w5IzenMlA.mp4
7,Girl on Fire,4esOae7i4rqTbAu9o5Pxco,1,1,224920,False,74,https://p.scdn.co/mp3-preview/916d773784dcfeaf0a3f47b0c6b58101615a5700?cid=fd83c27adc7e41f799e11bbaaab23d34,USRC11201015,Girl on Fire (Remixes) - EP,3zZSz5VOYSu0jE4MkPCOvN,single,4,2012-11-18,day,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a4fe49eb27e8152710e7a590', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a4fe49eb27e8152710e7a590', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a4fe49eb27e8152710e7a590', 'width': 64}]",Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,['Alicia Keys'],['3DiDSECUqqY1AuBP8qtaIa'],"['pop', 'neo soul', 'r&b']",77,11822533,https://open.spotify.com/track/4esOae7i4rqTbAu9o5Pxco,0.135,0.482,0.706,0.00106,9,0.105,-5.762,1,0.0607,92.513,4,0.144,"She's just a girl, and she's on fire
Hotter than a fantasy, lonely like a highway
She's living in a world and it's on fire
Filled with catastrophe but she knows she can fly away

Ooh-oh, she got both feet on the ground
And she's burning it down
Ooh-oh, she got her head in the clouds
And she's not backing down

This girl is on fire
This girl is on fire
She's walking on fire
This girl is on fire

Looks like a girl but she's a flame
So bright, she can burn your eyes
Better look the other way
You can try but you'll never forget her name
She's on top of the world
Hottest of the hottest girls say

Ooh-oh, we got our feet on the ground
And we're burning it down
Ooh-oh, got our head in the clouds
And we're not coming down

This girl is on fire (fire, fire)
This girl is on fire
She's walking on fire (fire, fire)
This girl is on fire (ooh)

Everybody stares as she goes by
'Cause they can see the flame that's in her eyes
Watch her as she's lighting up the night
Nobody knows that she's a lonely girl
And it's a lonely world
But she gon' let it burn, baby, burn, baby

This girl is on fire (fire, fire)
This girl is on fire
She's walking on fire (fire, fire)
This girl is on fire

Ooh-oh, ooh-oh, ooh-oh
Ooh-oh, ooh-oh, ooh, ooh-oh
Ooh-oh, ooh-oh, ooh, ooh
Ooh-oh, ooh-oh, ooh, oh

She's just a girl but she's on fire",songs\mVuSfxqpZa4.mp4
8,Pressure,5kOr9TvOKlN8kHCchdAmQ3,1,1,133157,True,33,https://p.scdn.co/mp3-preview/79d3cc3b528fc82c08771b9153f305ae8d2b3bac?cid=fd83c27adc7e41f799e11bbaaab23d34,GBLFP2314611,Pressure,2GJjqVJpd29J1zhIvHhnKp,single,1,2023-05-24,day,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273783fdf05152933736e59faad', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02783fdf05152933736e59faad', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851783fdf05152933736e59faad', 'width': 64}]",Ugly Andz.,6o33ajgtOTzJPKrgvQR9pW,"['Ugly Andz.', 'Island Dre']","['6o33ajgtOTzJPKrgvQR9pW', '0XDku77RjAmxJ1gCEvqLoU']",[],57,5325,https://open.spotify.com/track/5kOr9TvOKlN8kHCchdAmQ3,0.0786,0.908,0.617,0.00151,1,0.0901,-7.901,1,0.051,114.037,4,0.521,,songs\uUDWCiJZxQc.mp4
9,Mingle,75On6kfeGGaER2N4orFRt5,1,1,169116,True,41,https://p.scdn.co/mp3-preview/55fa92a621969a9471f2cf6da3393a3fa1af9c32?cid=fd83c27adc7e41f799e11bbaaab23d34,TCADD1742078,Mingle,4JKN2XPv9aG6srA9fL4w9U,single,1,2017-07-04,day,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c195431f696c881d67abc253', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c195431f696c881d67abc253', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c195431f696c881d67abc253', 'width': 64}]",ZieZie,26XzvosH2cl8Re6KSo9m8Z,"['AdeSTP', 'ZieZie']","['4KCJx85C3RUlu0MugVjPhz', '26XzvosH2cl8Re6KSo9m8Z']","['uk hip hop', 'london rap']",50,113049,https://open.spotify.com/track/75On6kfeGGaER2N4orFRt5,0.564,0.808,0.39,0.0,8,0.0856,-8.846,1,0.489,98.128,4,0.686,"It's AdeSTP
Yeah, yeah, yeah
Zie Zie
Let's go

Yeah the girl know how the ting goes
Baby come through, let's mingle
She a bad gyal with a good good
Bad gyal haffi take good wood

Yeah the girl know how the ting goes
Baby come through, let's mingle
She a bad gyal with a good good
Bad gyal haffi take good wood

She a ten outta ten, she perfection
My baby want love and affection
But losing me's an L
She be saying hello from the other side, something like Adele

Grind all day and get a chick later
Grind all day, well your chick can get paper
Never sitting back, man's active
Brown and peng, she attractive

Yeah the girl know how the ting goes
Baby come through, let's mingle
She a bad gyal with a good good
Bad gyal haffi take good wood

Yeah the girl know how the ting goes
Baby come through, let's mingle
She a bad gyal with a good good
Bad gyal haffi take good wood

Whine for me, take time, now she goin' slow
Now go down baby, whine down low
Lower, lower, take time for me now, go slower
Whine for me, take time, now she goin' slow
Now go down baby, whine down low
Lower, lower, take time for me now, go slower

Yeah I'm from the Congo, let me hit you with that combo
Bars so fresh, I make a white gyal azonto
Alkayida baby, shoki for me
Nanana baby, sing it to me

Controlla, controlla ay
Lock it up now, leg over
I like my girls gold, not a gold digger
Can't play me man, I'm not that nigga

Cah man I don't waste my time
I be like, ""Au revoir ma chérie""
I got a new ting she bad and she boujee
You wasn't bad in my new sporty Gucci
Louis Vuitton

But now you wanna holla man, don't give a damn
Bye Felicia, man I didn't need ya
Got a fine gyal and I call her mamacita

Yeah the girl know how the ting goes
Baby come through, let's mingle
She a bad gyal with a good good
Bad gyal haffi take good wood

Yeah the girl know how the ting goes
Baby come through, let's mingle
She a bad gyal with a good good
Bad gyal haffi take good wood",songs\he9mKLl02to.mp4
