,track_name,track_id,track_number,disc_number,duration_ms,explicit,popularity,preview_url,isrc,album_name,album_id,album_type,album_total_tracks,album_release_date,album_release_date_precision,album_images,popular_artist,popular_artist_id,artist_names,artist_ids,combined_genres,artist_popularity,artist_followers,external_url,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,lyrics,audio_file_path
0,Lose Yourself,7MJQ9Nfxzh8LPZ9e9u68Fq,3,2,320626,True,68,,USIR10211559,SHADYXV,3CjuTytLZz3G9znXt2rJgU,compilation,28,2014-11-24,day,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2733f66b5b49ccea004a5ef0db2', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e023f66b5b49ccea004a5ef0db2', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048513f66b5b49ccea004a5ef0db2', 'width': 64, 'height': 64}]",Eminem,7dGJo4pcD2V6oG8kP0tJRR,['Eminem'],['7dGJo4pcD2V6oG8kP0tJRR'],"['rap', 'hip hop', 'detroit hip hop']",91,85881441,https://open.spotify.com/track/7MJQ9Nfxzh8LPZ9e9u68Fq,0.00922,0.689,0.735,0.00072,2,0.365,-4.545,1,0.267,171.403,4,0.059,"Hey, Em, it's Paul
Uh, I was listening to the album
Good fucking luck, you're on your own

Guess who's back, back again?
Shady's back, tell a friend
Guess who's back? Guess who's back?
Guess who's back? Guess who's back?
Guess who's back? Guess who's back?
Guess who's back?
Da-da-da, da, da, da, da, da, da
Da-da-da, da, da, da, da

Well, look what the stork brung (what?)
Little baby devil with the forked tongue
And it's stickin' out, yeah, like a sore thumb (bleh)
With a forehead that it grew horns from (look)
Still a white jerk (it's him), pullin' up in a Chrysler to the cypher
With the Vics, Percs and a Bud Light shirt
Lyrical technician (yeah), an electrician (yeah)
Y'all light work
And I don't gotta play pretend, it's you I make believe (what?)
And you know I'm here to stay 'cause me (why?)
If I was to ever take a leave (what?)
It would be aspirin to break a feve' (yeah)
If I was to ask for Megan Thee (what?)
Stallion if she would collab with me
Would I really have a shot at a feat?
I don't know, but I'm glad to be back like

Abra-abracadabra (and for my last trick)
I'm 'bout to reach in my bag, bruh (like)
Abra-abracadabra (and for my last trick, poof)
Just like that and I'm back, bro

Now back in the days of old me (when?)
Right around the time I became a dope fiend (oh)
Ate some codeine as a way of coping (mm)
Taste of opiates, case of O.E.
Turned me into smiley face emoji (woo)
My shit may not be age-appropriate
But I will hit an eight-year-old in the face with a participation trophy
Plus I have zero doubts
That this whole world's 'bout
To turn into some girl scouts
That censorship bureau's out to (shut me down)
So when I started this verse
It did start off lighthearted at first (hmm)
But it feels like I'm targeted
Mind-bogglin' how my profit has skyrocketed
Look what I pocketed
Yeah, the shit is just like y'all had been light joggin', and
I've been runnin' at full speed
And that's why I'm ahead like my noggin', and
I'm the fight y'all get in
When you debate who the best, but opps, I'm white chalkin' when
I step up to that mic, cock it then
""Oh my God, it's him, not again""

Abra-abracadabra (and for my last trick)
I'm 'bout to reach in my bag, bruh (like)
Abra-abracadabra (and for my last trick, poof)
Just like that and I'm back, bro (break it down)

Sometimes I wonder what the old me'd say (if what?)
If he could see the way shit is today (look at this shit, man)
He'd probably say that everything is gay (like happy)
What's my name? What's my name? (Slim Shady)

So how many little kids still wanna act like me?
I'm a bigger prick than cacti be (yeah)
And that's why these (what?)
Words sting just like you were being attacked by bees (bzz)
In the coupe, leaning back my seat (what?)
Bumpin' R. Kelly's favorite group (uh), the black guy (guy) pees (haha, pees)
In my Air Max 90s
White Ts, walkin' parental advisory
My transgender cat's Siamese (why?)
Identifies as Black, but acts Chinese
Like a motherfuckin' Hacky Sack, I treat (what?)
The whole world 'cause I got it at my feet (yeah)
How can I explain to you (what?)
That even myself I'm a danger to? (Yeah)
I hop on tracks like a kangaroo
And say a few things or two to anger you
But fuck that, if I think that shit, I'ma say that shit
Cancel me, what? Okay, that's it
Go ahead, Paul, quit, snake-ass prick
You male cross-dresser, fake-ass bitch
And I'll probably get shit for that (watch)
But you can all suck my dick, in fact
Fuck them, fuck Dre, fuck Jimmy, fuck me, fuck you
Fuck my own kids, they're brats (fuck 'em)
They can screw off (yeah), them and you all (uh)
You too, Paul (punk), got two balls
Big as RuPaul's (whoa)
What you thought you saw ain't what you saw (nah)
'Cause you're never gon' see me
Caught sleepin' and see the kidnappin' never did happen (no)
Like Sherri Papini, Harry Houdini
I vanish into the thin air as I'm leaving like

Abra-abracadabra (and for my last trick)
I'm 'bout to reach in my bag, bruh (like)
Abra-abracadabra (and for my last trick, poof)
Just like that and I'm back, bro",songs\soNLLPokjC4.mp4
1,You Belong With Me,1GEBsLDvJGw7kviySRI6GX,12,1,232120,False,68,,USCJY0803328,Fearless (Big Machine Radio Release Special),3EzFY9Rg0PpbADMth746zi,album,26,2008-11-11,day,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27360cb9332e8c8c7d8e50854b3', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0260cb9332e8c8c7d8e50854b3', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485160cb9332e8c8c7d8e50854b3', 'width': 64, 'height': 64}]",Taylor Swift,06HL4z0CvFAxyc27GXpf02,['Taylor Swift'],['06HL4z0CvFAxyc27GXpf02'],['pop'],100,114193835,https://open.spotify.com/track/1GEBsLDvJGw7kviySRI6GX,0.178,0.687,0.745,1.59e-05,6,0.111,-4.432,1,0.0379,129.966,4,0.435,"You're on the phone with your girlfriend, she's upset
She's goin' off about somethin' that you said
'Cause she doesn't get your humor like I do
I'm in the room, it's a typical Tuesday night
I'm listenin' to the kind of music she doesn't like
And she'll never know your story like I do

But she wears short skirts, I wear T-shirts
She's cheer captain and I'm on the bleachers
Dreamin' 'bout the day when you wake up and find
That what you're looking for has been here the whole time

If you could see that I'm the one who understands you
Been here all along, so why can't you see
You belong with me
You belong with me

Walkin' the streets with you and your worn-out jeans
I can't help thinkin' this is how it ought to be
Laughin' on a park bench, thinkin' to myself
""Hey, isn't this easy?""
And you've got a smile that could light up this whole town
I haven't seen it in a while since she brought you down
You say you're fine, I know you better than that
Hey, what you doin' with a girl like that?

She wears high heels, I wear sneakers
She's cheer captain and I'm on the bleachers
Dreamin' 'bout the day when you wake up and find
That what you're looking for has been here the whole time

If you could see that I'm the one who understands you
Been here all along, so why can't you see
You belong with me
Standin' by and waitin' at your back door
All this time, how could you not know, baby
You belong with me
You belong with me

Oh, I remember you drivin' to my house
In the middle of the night
I'm the one who makes you laugh
When you know you're 'bout to cry
And I know your favorite songs
And you tell me 'bout your dreams
Think I know where you belong
Think I know it's with me

Can't you see that I'm the one who understands you?
Been here all along, so why can't you see
You belong with me
Standin' by and waitin' at your back door
All this time, how could you not know, baby
You belong with me
You belong with me
You belong with me
Have you ever thought just maybe
You belong with me
You belong with me",songs\LYyUr75fs_o.mp4
2,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,1,1,224694,False,76,https://p.scdn.co/mp3-preview/a0cd8077c79a4aa3dcaa68bbc5ecdeda46e8d13f?cid=fd83c27adc7e41f799e11bbaaab23d34,USSM12105970,Easy On Me,224jZ4sUX7OhAuMwaxp86S,single,1,2021-10-14,day,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27350dba34377a595e35f81b0e4', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0250dba34377a595e35f81b0e4', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485150dba34377a595e35f81b0e4', 'width': 64, 'height': 64}]",Adele,4dpARuHxo51G3z768sgnrY,['Adele'],['4dpARuHxo51G3z768sgnrY'],"['british soul', 'uk pop', 'pop', 'pop soul']",83,56061989,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX,0.578,0.604,0.366,0.0,5,0.133,-7.519,1,0.0282,141.981,4,0.13,"There ain't no gold in this river
That I've been washing my hands in forever

I know there is hope in these waters

But I can't bring myself to swim
When I am drowning in this silence

Baby, let me in

Go easy on me, baby
I was still a child
Didn't get the chance to
Feel the world around me
I had no time to choose what I chose to do
So, go easy on me

There ain't no room for our things to change
When we are both so deeply stuck in our ways
You can't deny how hard I've tried
I changed who I was to put you both first

But now I give up

Go easy on me, baby
I was still a child
Didn't get the chance to
Feel the world around me
Had no time to choose what I chose to do

So go easy on me

I had good intentions

And the highest hopes

But I know right nowㅤ
It probably doesn't even show

Go easy on me, baby
I was still a child
I didn't get the chance to
Feel the world around me
I had no time to choose what I chose to do
So go easy on me",songs\H9NJenpBV2I.mp4
3,Faded,698ItKASDavgwZ3WjaWjtz,15,1,212106,False,78,https://p.scdn.co/mp3-preview/dd79198f4b4c43aef9c8e8e1c4708a402862dd0e?cid=fd83c27adc7e41f799e11bbaaab23d34,NOG841549010,Different World,3nzuGtN3nXARvvecier4K0,album,15,2018-12-14,day,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273a108e07c661f9fc54de9c43a', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02a108e07c661f9fc54de9c43a', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851a108e07c661f9fc54de9c43a', 'width': 64, 'height': 64}]",Alan Walker,7vk5e3vY1uw9plTHJAMwjN,['Alan Walker'],['7vk5e3vY1uw9plTHJAMwjN'],['electro house'],80,38801768,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz,0.0281,0.468,0.627,7.97e-06,6,0.11,-5.085,1,0.0476,179.642,4,0.159,"You were the shadow to my light, did you feel us?
Another star, you fade away
Afraid our aim is out of sight, wanna see us
Alight

Where are you now?
Where are you now?
Where are you now?
Was it all in my fantasy?
Where are you now?
Were you only imaginary?

Where are you now?
Atlantis
Under the sea, under the sea
Where are you now?
Another dream
The monster's running wild inside of me

I'm faded
I'm faded
So lost, I'm faded
I'm faded
So lost, I'm faded

These shallow waters never met what I needed
I'm letting go, a deeper dive
Eternal silence of the sea, I'm breathing
Alive

Where are you now?
Where are you now?
Under the bright but faded lights
You set my heart on fire
Where are you now?
Where are you now?

Where are you now?
Atlantis
Under the sea, under the sea
Where are you now?
Another dream
The monster's running wild inside of me

I'm faded
I'm faded
So lost, I'm faded
I'm faded
So lost, I'm faded",songs\pIWaVJPl0-c.mp4
4,Alone,3LlmKSHR3Rs0Y3KHQLAYDk,12,1,160426,False,72,https://p.scdn.co/mp3-preview/ab66780b7a2f22456185bfa811515eaef4f7254c?cid=fd83c27adc7e41f799e11bbaaab23d34,NOG841617010,Different World,3nzuGtN3nXARvvecier4K0,album,15,2018-12-14,day,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273a108e07c661f9fc54de9c43a', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02a108e07c661f9fc54de9c43a', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851a108e07c661f9fc54de9c43a', 'width': 64, 'height': 64}]",Alan Walker,7vk5e3vY1uw9plTHJAMwjN,['Alan Walker'],['7vk5e3vY1uw9plTHJAMwjN'],['electro house'],80,38801768,https://open.spotify.com/track/3LlmKSHR3Rs0Y3KHQLAYDk,0.229,0.673,0.914,0.000478,10,0.186,-3.962,1,0.0496,97.021,4,0.183,"Lost in your mind, I wanna know
Am I losin' my mind?
Never let me go

If this night is not forever, at least we are together
I know I'm not alone
I know I'm not alone

Anywhere, whenever
Apart but still together
I know I'm not alone
I know I'm not alone

I know I'm not alone

I know I'm not alone

Unconscious mind, l'm wide awake
Wanna feel one last time
Take my pain away

If this night is not forever, at least we are together
I know I'm not alone
I know I'm not alone

Anywhere, whenever
Apart but still together
I know I'm not alone
I know I'm not alone

I know I'm not alone

I know I'm not alone

I'm not alone
I'm not alone
I'm not alone (I know I'm not alone)
I'm not alone
I'm not alone
I'm not alone (I know I'm not alone)",songs\aZwklvDdaVw.mp4
5,Therefore I Am,20R4HfKloPKgXDqU7UKk3x,14,1,173539,False,70,,USUM72021500,Happier Than Ever,0JGOiO34nwfUdDrD612dOp,album,16,2021-07-30,day,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e022a038d3bf875d23e4aeaa84e', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048512a038d3bf875d23e4aeaa84e', 'width': 64, 'height': 64}]",Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,['Billie Eilish'],['6qqNVTkY8uBg9cP3Jd7DAH'],"['art pop', 'pop']",94,95589519,https://open.spotify.com/track/20R4HfKloPKgXDqU7UKk3x,0.227,0.879,0.365,0.135,2,0.0583,-7.781,1,0.0924,94.016,4,0.663,"I'm not your friend or anything, damn
You think that you're the man
I think, therefore, I am
I'm not your friend or anything, damn
You think that you're the man
I think, therefore I am

Stop, what the hell are you talking about? Ha
Get my pretty name outta your mouth
We are not the same with or without
Don't talk 'bout me like how you might know how I feel
Top of the world, but your world isn't real
Your world's an ideal

So, go have fun
I really couldn't care less
And you can give 'em my best, but just know

I'm not your friend or anything, damn
You think that you're the man
I think, therefore I am
I'm not your friend or anything, damn
You think that you're the man
I think, therefore I am

I don't want press to put your name next to mine
We're on different lines, so I
Wanna be nice enough
They don't call my bluff 'cause I hate to find
Articles, articles, articles
Rather you remain unremarkable (got a lotta)
Interviews, interviews, interviews
When they say your name, I just act confused

Did you have fun?
I really couldn't care less
And you can give 'em my best, but just know

I'm not your friend or anything, damn
You think that you're the man
I think, therefore, I am
I'm not your friend or anything, damn
You think that you're the man
I think, therefore, I am

I'm sorry
I don't think I caught your name
I'm sorry
I don't think I caught your name

I'm not your friend or anything, damn
You think that you're the man
I think, therefore, I am
I'm not your friend or anything, damn
You think that you're the man
I think, therefore I am",songs\oDn4eKyhSH4.mp4
6,Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,15,1,298899,True,80,,USUM72105936,Happier Than Ever,0JGOiO34nwfUdDrD612dOp,album,16,2021-07-30,day,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e022a038d3bf875d23e4aeaa84e', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048512a038d3bf875d23e4aeaa84e', 'width': 64, 'height': 64}]",Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,['Billie Eilish'],['6qqNVTkY8uBg9cP3Jd7DAH'],"['art pop', 'pop']",94,95589519,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8,0.767,0.332,0.225,0.00349,0,0.128,-8.697,1,0.0348,81.055,3,0.297,"When I'm away from you, I'm happier than ever
Wish I could explain it better
I wish it wasn't true
Give me a day or two to think of something clever
To write myself a letter
To tell me what to do, mm-mmm

Do you read my interviews?
Or do you skip my avenue? (My avenue)
When you (when you) said you were passing through
Was I even on your way?

I knew when I asked you to (when I asked you to)
Be cool about what I was telling you
You'd do the opposite of what you said you'd do (what you said you'd do)
And I'd end up more afraid

Don't say it isn't fair
You clearly weren't aware that you made me miserable

So if you really wanna know

When I'm away from you (when I'm away from you)
I'm happier than ever (happier than ever)
Wish I could explain it better (wish I could explain it better)
I wish it wasn't true (wish it wasn't true), mmm-mmm

You call me again, drunk in your Benz
Driving home under the influence
You scared me to death, but I'm wasting my breath
'Cause you only listen to your fucking friends

I don't relate to you
I don't relate to you, no
'Cause I'd never treat me this shitty
You made me hate this city

And I don't talk shit about you on the internet
Never told anyone anything bad
'Cause that shit's embarrassing, you were my everything
And all that you did was make me fucking sad
So don't waste the time I don't have
And don't try to make me feel bad

I could talk about every time that you showed up on time
But I'd have an empty line 'cause you never did
Never paid any mind to my mother or friends
So I shut 'em all out for you 'cause I was a kid

You ruined everything good
Always said you were misunderstood
Made all my moments your own
Just fucking leave me alone",songs\NSTUVHsb9xw.mp4
7,Despacito,6habFhsOp2NvshLv26DqMb,9,1,229360,False,77,,USUM71607007,VIDA,5C0YLr4OoRGFDaqdMQmkeH,album,15,2019-02-01,day,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273ef0d4234e1a645740f77d59c', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02ef0d4234e1a645740f77d59c', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851ef0d4234e1a645740f77d59c', 'width': 64, 'height': 64}]",Daddy Yankee,4VMYDCV2IEDYJArk749S6m,"['Luis Fonsi', 'Daddy Yankee']","['4V8Sr092TqfHkfAA5fXXqG', '4VMYDCV2IEDYJArk749S6m']","['latin hip hop', 'puerto rican pop', 'urbano latino', 'latin pop', 'reggaeton', 'trap latino']",85,33987525,https://open.spotify.com/track/6habFhsOp2NvshLv26DqMb,0.198,0.655,0.797,0.0,2,0.067,-4.787,1,0.153,177.928,4,0.839,"¡Ay!
Fonsi, DY
Oh, oh no, oh no (oh)
Hey yeah
Diridiri, dirididi Daddy
Go!

Sí, sabes que ya llevo un rato mirándote
Tengo que bailar contigo hoy (DY)
Vi que tu mirada ya estaba llamándome
Muéstrame el camino que yo voy

Oh, tú, tú eres el imán y yo soy el metal
Me voy acercando y voy armando el plan
Solo con pensarlo se acelera el pulso (oh yeah)

Ya, ya me estás gustando más de lo normal
Todos mis sentidos van pidiendo más
Esto hay que tomarlo sin ningún apuro

Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmar las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito (sube, sube, sube)
(Sube, sube) Oh

Quiero ver bailar tu pelo
Quiero ser tu ritmo (uh oh, uh oh)
Que le enseñes a mi boca (uh oh, uh oh)
Tus lugares favoritos (favoritos, favoritos baby)
Déjame sobrepasar tus zonas de peligro (uh oh, uh oh)
Hasta provocar tus gritos (uh oh, uh oh)
Y que olvides tu apellido (dirididi Daddy)

(DY) Si te pido un beso ven dámelo (eh)
Yo sé que estás pensándolo (eh)
Llevo tiempo intentándolo (eh)
Mami, esto es dando y dándolo
Sabes que tu corazón conmigo te hace bam bam
Sabe que esa beba 'tá buscando de mi bam bam
Ven prueba de mi boca para ver cómo te sabe
Quiero, quiero, quiero ver cuánto amor a ti te cabe
Yo no tengo prisa, yo me quiero dar el viaje
Empezamo' lento, después salvaje

Pasito a pasito, suave suavecito
Nos vamos pegando poquito a poquito
Cuando tú me besas con esa destreza
Veo que eres malicia con delicadeza
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito (oh oh)
Y es que esa belleza es un rompecabezas (oh no)
Pero pa' montarlo aquí tengo la pieza (slow, oh yeah)

Despacito (yeh, yo)
Quiero respirar tu cuello despacito (yo)
Deja que te diga cosas al oído (yo)
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito (yeh)
Firmar las paredes de tu laberinto 
Y hacer de tu cuerpo todo un manuscrito (sube, sube, sube)
(Sube, sube) Oh

Quiero ver bailar tu pelo
Quiero ser tu ritmo (uh oh, uh oh)
Que le enseñes a mi boca (uh oh, uh oh)
Tus lugares favoritos (favoritos, favoritos baby)
Déjame sobrepasar tus zonas de peligro (uh oh, uh oh)
Hasta provocar tus gritos (uh oh, uh oh)
Y que olvides tu apellido

Despacito
Vamo' a hacerlo en una playa en Puerto Rico
Hasta que las olas griten ""Ay, bendito""
Para que mi sello se quede contigo (báilalo)

Pasito a pasito, suave suavecito (hey yeah, yeah)
Nos vamos pegando, poquito a poquito (oh no)
Que le enseñes a mi boca (uh oh, uh oh)
Tus lugares favoritos (favoritos, favoritos baby)
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Hasta provocar tus gritos (eh-oh) (Fonsi)
Y que olvides tu apellido (DY)
Despacito",songs\FXovf5dsRTw.mp4
8,Cradles,18A7ha5BitZjmdHTCwXFbU,1,1,209829,False,0,https://p.scdn.co/mp3-preview/584c63beb79d87d11ed0cefbf158914b9d8730ec?cid=fd83c27adc7e41f799e11bbaaab23d34,GB2LD1800949,Cradles,1WTTu8JvpNLQShwwO8o4L9,single,1,2019-01-04,day,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273cec7c8ebb684882dbaf476f5', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02cec7c8ebb684882dbaf476f5', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851cec7c8ebb684882dbaf476f5', 'width': 64, 'height': 64}]",Sub Urban,7gXb99Sf9nNmpNYeAgIQFG,['Sub Urban'],['7gXb99Sf9nNmpNYeAgIQFG'],['modern indie pop'],64,1691519,https://open.spotify.com/track/18A7ha5BitZjmdHTCwXFbU,0.27,0.581,0.585,6.48e-05,1,0.179,-1.87,1,0.369,67.443,3,0.63,"I live inside my own world of make-believe
Kids screaming in their cradles, profanities
I see the world through eyes covered in ink and bleach
Cross out the ones who held my cries and watched me weep

I love everything
Fire's spreading all around my room
My world's so bright
It's hard to breathe, but that's alright
Hush!

Shh

Tape my eyes open to force reality (oh, no, no)
Why can't you just let me eat my weight in glee?
I live inside my own world of make-believe
Kids screaming in their cradles, profanities
Somedays, I feel skinnier than all the other days
Sometimes, I can't tell if my body belongs to me

I love everything
Fire's spreading all around my room
My world's so bright
It's hard to breathe, but that's alright
Hush

Shh

I wanna taste your content
Hold your breath and feel the tension
Devils hide behind redemption
Honesty is a one-way gate to hell
I wanna taste consumption
Breathe faster to waste oxygen
Hear the children sing aloud
It's music 'til the wick burns out
Hush

Just wanna be carefree lately, yeah
Just kicking up daisies
Got one too many quarters in my pocket
Count 'em like the four-leaf clovers in my locket
Untied laces, yeah
Just tripping on daydreams
Got dirty little lullabies playing on repeat
Might as well just rot around the nursery and count sheep",songs\8_Cw99SiHvc.mp4
9,Shivers,75MNhvTCCKsST3YqqUiU9r,1,1,207853,False,15,https://p.scdn.co/mp3-preview/08cec59d36ac30ae9ce1e2944f206251859844af?cid=fd83c27adc7e41f799e11bbaaab23d34,GBAHS2100671,Shivers,531c37GGv5IvddCvBv3sWT,single,2,2021-09-13,day,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2730ec1f3493edc0c888ff2d57c', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e020ec1f3493edc0c888ff2d57c', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048510ec1f3493edc0c888ff2d57c', 'width': 64, 'height': 64}]",Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,['Ed Sheeran'],['6eUKZXaKkcviH0Ku9w2n3V'],"['uk pop', 'pop', 'singer-songwriter pop']",86,114502685,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r,0.281,0.788,0.859,0.0,2,0.0424,-2.724,1,0.0856,141.02,4,0.822,"I took an arrow to the heart
I never kissed a mouth that taste like yours
Strawberries and something more
Ooh, yeah, I want it all

Lipstick on my guitar (ooh)
Fill up the engine, we can drive real far
Go dancing underneath the stars
Ooh, yeah, I want it all
Hmm, you got me feeling like

I wanna be that guy
I wanna kiss your eyes
I wanna drink that smile
I wanna feel like I'm -
Like my soul's on fire
I wanna stay up all day and all night
Yeah, you got me singing like

Ooh, I love it when you do it like that
And when you're close up, give me the shivers
Oh, baby, you wanna dance 'til the sunlight cracks
And when they say the party's over, then we bring it right back

And we'll say
Ooh, I love it when you do it like that
And when you're close up, give me the shivers
Oh, baby, you wanna dance 'til the sunlight cracks?
And when they say the party's over, then we bring it right back

Into the car
On the back seat in the moonlit dark
Wrap me up between your legs and arms
Ooh, I can't get enough

You know you could tear me apart (ooh)
Put me back together, and take my heart
I never thought that I could love this hard
Ooh, I can't get enough
Hmm, you got me feeling like

I wanna be that guy
I wanna kiss your eyes
I wanna drink that smile
I wanna feel like I'm -
Like my soul's on fire
I wanna stay up all day and all night
Yeah, you got me singing like

Ooh, I love it when you do it like that
And when you're close up, give me the shivers
Oh, baby, you wanna dance 'til the sunlight cracks?
And when they say the party's over, then we'll bring it right back

And we'll say
Ooh, I love it when you do it like that
And when you're close up, give me the shivers
Oh, baby, you wanna dance 'til the sunlight cracks
And when they say the party's over, then we'll bring it right back

Baby, you burn so hot, you make me shiver
With the fire you got, this thing we started
I don't want it to stop, you know you make me shiver, ah, ah-ah
Baby, you burn so hot, you make me shiver
With the fire you got, this thing we started
I don't want it to stop, you know you make me shiver
Yeah, you got me singing like

Ooh, I love it when you do it like that
And when you're close up, give me the shivers
Oh, baby, you wanna dance 'til the sunlight cracks
And when they say the party's over, then we'll bring it right back

And we'll say
Ooh, I love it when you do it like that
And when you're close up, give me the shivers
Oh, baby, you wanna dance 'til sunlight cracks
And when they say the party's over, then we'll bring it right back

Hey",songs\G1ej5up7JG0.mp4
